,2022db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,라리가,일반,"발렌시아
점수
1 :
점수
2 에스파뇰","승
1.63
무
3.40
패
4.15","01.01 (토)
00:15"
1,라리가,핸디캡,"발렌시아
점수
0
H -1.0
:
점수
2 에스파뇰","승
3.05
무
3.35
패
1.91","01.01 (토)
00:15"
2,라리가,언더오버,"발렌시아
U/O 2.5
총 점수
3 에스파뇰","U
1.78배당률 상승
-O
1.70배당률 하락","01.01 (토)
00:15"
3,NBA,일반,"보스셀틱
점수
123 :
점수
108 피닉선즈","승
2.38
-패
1.37","01.01 (토)
03:00"
4,NBA,핸디캡,"보스셀틱
점수
127.5
H +4.5
:
점수
108 피닉선즈","승
1.77배당률 상승
-패
1.71배당률 하락","01.01 (토)
03:00"
5,NBA,언더오버,"보스셀틱
U/O 214.5
총 점수
231 피닉선즈","U
1.77
-O
1.71","01.01 (토)
03:00"
6,NBA,일반,"인디페이
점수
106 :
점수
108 시카불스","승
2.38
-패
1.37","01.01 (토)
05:00"
7,NBA,핸디캡,"인디페이
점수
110.5
H +4.5
:
점수
108 시카불스","승
1.77배당률 상승
-패
1.71배당률 하락","01.01 (토)
05:00"
8,NBA,언더오버,"인디페이
U/O 218.5
총 점수
214 시카불스","U
1.75
-O
1.73","01.01 (토)
05:00"
9,NBA,일반,"새크킹스
점수
96 :
점수
112 댈러매버","승
1.69
-패
1.79","01.01 (토)
08:00"
10,NBA,핸디캡,"새크킹스
점수
94.5
H -1.5
:
점수
112 댈러매버","승
1.87
-패
1.63","01.01 (토)
08:00"
11,NBA,언더오버,"새크킹스
U/O 218.5
총 점수
208 댈러매버","U
1.74
-O
1.74","01.01 (토)
08:00"
12,NBA,일반,"휴스로케
점수
110 :
점수
120 마이히트","승
2.41
-패
1.36","01.01 (토)
09:00"
13,NBA,핸디캡,"휴스로케
점수
114.5
H +4.5
:
점수
120 마이히트","승
1.74
-패
1.74","01.01 (토)
09:00"
14,NBA,언더오버,"휴스로케
U/O 217.5
사전조건 변경
총 점수
230 마이히트","U
1.73
-O
1.75","01.01 (토)
09:00"
15,NBA,일반,"클리캐벌
점수
118 :
점수
121 애틀호크","승
1.65
-패
1.84","01.01 (토)
09:30"
16,NBA,핸디캡,"클리캐벌
점수
116.5
H -1.5
:
점수
121 애틀호크","승
1.76배당률 하락
-패
1.72배당률 상승","01.01 (토)
09:30"
17,NBA,언더오버,"클리캐벌
U/O 218.5
사전조건 변경
총 점수
239 애틀호크","U
1.76
-O
1.72","01.01 (토)
09:30"
18,NBA,일반,"토론랩터
점수
116 :
점수
108 LA클리퍼","승
1.24배당률 하락
-패
2.92배당률 상승","01.01 (토)
09:30"
19,NBA,핸디캡,"토론랩터
점수
109.5
H -6.5
사전조건 변경
:
점수
108 LA클리퍼","승
1.72배당률 하락
-패
1.76배당률 상승","01.01 (토)
09:30"
20,NBA,언더오버,"토론랩터
U/O 211.5
사전조건 변경
총 점수
224 LA클리퍼","U
1.74
-O
1.74","01.01 (토)
09:30"
21,NBA,일반,"멤피그리
점수
118 :
점수
105 샌안스퍼","승
1.27
-패
2.76","01.01 (토)
10:00"
22,NBA,핸디캡,"멤피그리
점수
111.5
H -6.5
:
점수
105 샌안스퍼","승
1.79
-패
1.69","01.01 (토)
10:00"
23,NBA,언더오버,"멤피그리
U/O 226.5
사전조건 변경
총 점수
223 샌안스퍼","U
1.76
-O
1.72","01.01 (토)
10:00"
24,NBA,일반,"오클썬더
점수
95 :
점수
80 뉴욕닉스","승
2.27배당률 하락
-패
1.41배당률 상승","01.01 (토)
10:00"
25,NBA,핸디캡,"오클썬더
점수
98.5
H +3.5
사전조건 변경
:
점수
80 뉴욕닉스","승
1.76
-패
1.72","01.01 (토)
10:00"
26,NBA,언더오버,"오클썬더
U/O 208.5
사전조건 변경
총 점수
175 뉴욕닉스","U
1.75
-O
1.73","01.01 (토)
10:00"
27,NBA,일반,"유타재즈
점수
120 :
점수
108 미네울브","승
1.04배당률 하락
-패
5.32배당률 상승","01.01 (토)
11:00"
28,NBA,핸디캡,"유타재즈
점수
107.5
H -12.5
사전조건 변경
:
점수
108 미네울브","승
1.75
-패
1.73","01.01 (토)
11:00"
29,NBA,언더오버,"유타재즈
U/O 223.5
사전조건 변경
총 점수
228 미네울브","U
1.73
-O
1.75","01.01 (토)
11:00"
30,NBA,일반,"LA레이커
점수
139 :
점수
106 포틀트레","승
1.30
-패
2.63","01.01 (토)
12:30"
31,NBA,핸디캡,"LA레이커
점수
132.5
H -6.5
사전조건 변경
:
점수
106 포틀트레","승
1.74
-패
1.74","01.01 (토)
12:30"
32,NBA,언더오버,"LA레이커
U/O 226.5
사전조건 변경
총 점수
245 포틀트레","U
1.74
-O
1.74","01.01 (토)
12:30"
33,KOVO남,일반,"한국전력
점수
3 :
점수
1 삼성화재","승
1.26
-패
2.81","01.01 (토)
14:00"
34,KOVO남,핸디캡,"한국전력
점수
1.5
H -1.5
:
점수
1 삼성화재","승
1.52배당률 하락
-패
2.03배당률 상승","01.01 (토)
14:00"
35,KOVO남,언더오버,"한국전력
U/O 182.5
총 점수
164 삼성화재","U
1.85배당률 상승
-O
1.64배당률 하락","01.01 (토)
14:00"
36,KBL,일반,"모비스
점수
74 :
점수
65 창원LG","승
1.35
-패
2.45","01.01 (토)
15:00"
37,KBL,핸디캡,"모비스
점수
69.5
H -4.5
:
점수
65 창원LG","승
1.74
-패
1.74","01.01 (토)
15:00"
38,KBL,언더오버,"모비스
U/O 160.5
사전조건 변경
총 점수
139 창원LG","U
1.77
-O
1.71","01.01 (토)
15:00"
39,KBL,일반,"한국가스
점수
78 :
점수
87 오리온스","승
1.66
-패
1.83","01.01 (토)
15:00"
40,KBL,핸디캡,"한국가스
점수
76.5
H -1.5
:
점수
87 오리온스","승
1.78배당률 하락
-패
1.70배당률 상승","01.01 (토)
15:00"
41,KBL,언더오버,"한국가스
U/O 162.5
총 점수
165 오리온스","U
1.73
-O
1.75","01.01 (토)
15:00"
42,A리그,일반,뉴캐제츠 : 멜버시티,---,"01.01 (토)
15:05"
43,A리그,핸디캡,"뉴캐제츠
H 0.0
: 멜버시티",---,"01.01 (토)
15:05"
44,A리그,언더오버,"뉴캐제츠
U/O 0.0
: 멜버시티",---,"01.01 (토)
15:05"
45,KOVO여,일반,"KGC
점수
3 :
점수
0 페퍼저축","승
1.01
-패
6.28","01.01 (토)
16:00"
46,KOVO여,핸디캡,"KGC
점수
0.5
H -2.5
:
점수
0 페퍼저축","승
1.50
-패
2.07","01.01 (토)
16:00"
47,KOVO여,언더오버,"KGC
U/O 135.5
총 점수
123 페퍼저축","U
1.85배당률 상승
-O
1.64배당률 하락","01.01 (토)
16:00"
48,KBL,일반,"KT소닉붐
점수
85 :
점수
68 서울삼성","승
1.05
-패
5.08","01.01 (토)
17:00"
49,KBL,핸디캡,"KT소닉붐
점수
73.5
H -11.5
:
점수
68 서울삼성","승
1.71배당률 하락
-패
1.77배당률 상승","01.01 (토)
17:00"
50,KBL,언더오버,"KT소닉붐
U/O 159.5
총 점수
153 서울삼성","U
1.78배당률 상승
-O
1.70배당률 하락","01.01 (토)
17:00"
51,A리그,일반,"애들유나
점수
4 :
점수
0 웰링피닉","승
1.89배당률 상승
무
3.25배당률 하락
패
3.20배당률 하락","01.01 (토)
17:45"
52,A리그,핸디캡,"애들유나
점수
3
H -1.0
:
점수
0 웰링피닉","승
3.35배당률 하락
무
3.55배당률 하락
패
1.76배당률 상승","01.01 (토)
17:45"
53,A리그,언더오버,"애들유나
U/O 2.5
총 점수
4 웰링피닉","U
1.87
-O
1.63","01.01 (토)
17:45"
54,A리그,일반,웨스원더 : 웨스유나,---,"01.01 (토)
17:45"
55,A리그,핸디캡,"웨스원더
H 0.0
: 웨스유나",---,"01.01 (토)
17:45"
56,A리그,언더오버,"웨스원더
U/O 0.0
: 웨스유나",---,"01.01 (토)
17:45"
