,2014db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,NBA,일반,"LA레이
점수
79 :
점수
94 밀워키벅","승
1.24
-패
2.70","01.01 (수)
12:30"
1,NBA,핸디캡,"LA레이
점수
72.5
H -6.5
:
점수
94 밀워키벅","승
1.70
-패
1.70","01.01 (수)
12:30"
2,일왕배,일반,"요코마리
점수
2 :
점수
0 산프히로","승
2.40
무
3.05
패
2.32","01.01 (수)
14:00"
3,KBL,일반,"원주동부
점수
69 :
점수
82 창원LG","승
3.18
-패
1.16","01.01 (수)
14:00"
4,KBL,핸디캡,"원주동부
점수
76.5
H +7.5
:
점수
82 창원LG","승
1.69
-패
1.71","01.01 (수)
14:00"
5,KBL,일반,"서울삼성
점수
71 :
점수
74 서울SK","승
2.46
-패
1.30","01.01 (수)
14:00"
6,KBL,핸디캡,"서울삼성
점수
75.5
H +4.5
:
점수
74 서울SK","승
1.70
-패
1.70","01.01 (수)
14:00"
7,KOVO,일반,"대한항공
점수
2 :
점수
3 현대캐피","승
2.05
-패
1.45","01.01 (수)
14:07"
8,KOVO,핸디캡,"대한항공
점수
3.5
H +1.5
:
점수
3 현대캐피","승
1.68
-패
1.72","01.01 (수)
14:07"
9,KBL,일반,"부산KT
점수
89 :
점수
86 전자랜드","승
1.94배당률 하락
-패
1.51배당률 상승","01.01 (수)
16:00"
10,KBL,핸디캡,"부산KT
점수
91.5
H +2.5
:
점수
86 전자랜드","승
1.69
-패
1.71","01.01 (수)
16:00"
11,KOVO,일반,"흥국생명
점수
0 :
점수
3 IBK","승
5.37
-패
1.01","01.01 (수)
16:07"
12,KOVO,핸디캡,"흥국생명
점수
2.5
H +2.5
:
점수
3 IBK","승
3.11배당률 하락
-패
1.17배당률 상승","01.01 (수)
16:07"
13,WKBL,일반,"하나외환
점수
69 :
점수
67 우리은행","승
4.46
-패
1.05","01.01 (수)
19:00"
14,WKBL,핸디캡,"하나외환
점수
78.5
H +9.5
:
점수
67 우리은행","승
1.70
-패
1.70","01.01 (수)
19:00"
15,EPL,일반,"스완지
점수
2 :
점수
3 맨체스C","승
5.60배당률 상승
무
3.90배당률 상승
패
1.35배당률 하락","01.01 (수)
21:45"
16,EPL,핸디캡,"스완지
점수
3
H +1.0
:
점수
3 맨체스C","승
2.55배당률 상승
무
3.30배당률 하락
패
2.08배당률 하락","01.01 (수)
21:45"
17,EPL,일반,"아스널
점수
2 :
점수
0 카디프","승
1.10
무
5.70
패
11.00","01.02 (목)
00:00"
18,EPL,핸디캡,"아스널
점수
0
H -2.0
:
점수
0 카디프","승
2.25배당률 하락
무
3.55배당률 하락
패
2.22배당률 상승","01.02 (목)
00:00"
19,EPL,일반,"크리스탈
점수
1 :
점수
1 노리치","승
2.14배당률 상승
무
2.85배당률 하락
패
2.80배당률 상승","01.02 (목)
00:00"
20,EPL,일반,"풀럼
점수
2 :
점수
1 웨스트햄","승
2.22
무
3.00
패
2.55","01.02 (목)
00:00"
21,EPL,일반,"리버풀
점수
2 :
점수
0 헐시티","승
1.14
무
5.40
패
8.80","01.02 (목)
00:00"
22,EPL,핸디캡,"리버풀
점수
0
H -2.0
:
점수
0 헐시티","승
2.50
무
3.80
패
1.95","01.02 (목)
00:00"
23,EPL,일반,"사우스햄
점수
0 :
점수
3 첼시","승
3.70배당률 상승
무
3.20
패
1.68배당률 하락","01.02 (목)
00:00"
24,EPL,핸디캡,"사우스햄
점수
1
H +1.0
:
점수
3 첼시","승
1.77배당률 상승
무
3.25배당률 하락
패
3.30배당률 하락","01.02 (목)
00:00"
25,EPL,일반,"스토크
점수
1 :
점수
1 에버턴","승
3.35배당률 상승
무
3.15
패
1.78배당률 하락","01.02 (목)
00:00"
26,EPL,일반,"선덜랜드
점수
0 :
점수
1 애스턴","승
1.94
무
3.05
패
3.00","01.02 (목)
00:00"
27,EPL,일반,"브롬위치
점수
1 :
점수
0 뉴캐슬","승
2.50배당률 상승
무
3.05
패
2.23배당률 하락","01.02 (목)
00:00"
28,SPL,일반,"셀틱
점수
1 :
점수
0 파틱시슬","승
1.10
무
5.50
패
11.50","01.02 (목)
00:00"
29,SPL,핸디캡,"셀틱
점수
-1
H -2.0
:
점수
0 파틱시슬","승
2.30배당률 하락
무
3.65
패
2.14배당률 상승","01.02 (목)
00:00"
30,SPL,일반,"던디U
점수
1 :
점수
2 애버딘","승
2.06
무
3.20
패
2.65","01.02 (목)
00:00"
31,SPL,일반,"인버네스
점수
1 :
점수
2 로스카운","승
1.39
무
3.70
패
5.40","01.02 (목)
00:00"
32,SPL,핸디캡,"인버네스
점수
0
H -1.0
:
점수
2 로스카운","승
2.21
무
3.25
패
2.40","01.02 (목)
00:00"
33,SPL,일반,"마더웰
점수
4 :
점수
0 세인트존","승
1.64배당률 하락
무
3.20배당률 상승
패
3.95배당률 상승","01.02 (목)
00:00"
34,EPL,일반,"맨체스U
점수
1 :
점수
2 토트넘","승
1.60
무
3.30
패
4.00","01.02 (목)
02:30"
35,EPL,핸디캡,"맨체스U
점수
0
H -1.0
:
점수
2 토트넘","승
2.85배당률 하락
무
3.15배당률 하락
패
1.97배당률 상승","01.02 (목)
02:30"
36,NBA,일반,"워싱턴W
점수
78 :
점수
87 댈러스","승
1.55
-패
1.88","01.02 (목)
08:00"
37,NBA,핸디캡,"워싱턴W
점수
76.5
H -1.5
:
점수
87 댈러스","승
1.70
-패
1.70","01.02 (목)
08:00"
38,NBA,일반,"토론토R
점수
95 :
점수
82 인디애나","승
2.53
-패
1.28","01.02 (목)
09:00"
39,NBA,핸디캡,"토론토R
점수
100.5
H +5.5
:
점수
82 인디애나","승
1.70
-패
1.70","01.02 (목)
09:00"
40,NBA,일반,"미네울브
점수
124 :
점수
112 뉴올리언","승
1.25
-패
2.66","01.02 (목)
10:00"
41,NBA,핸디캡,"미네울브
점수
117.5
H -6.5
:
점수
112 뉴올리언","승
1.70
-패
1.70","01.02 (목)
10:00"
42,NBA,일반,"덴버
점수
102 :
점수
114 필라76","승
1.15
-패
3.26","01.02 (목)
11:00"
43,NBA,핸디캡,"덴버
점수
93.5
H -8.5
:
점수
114 필라76","승
1.68
-패
1.72","01.02 (목)
11:00"
44,NBA,일반,"LA클리
점수
112 :
점수
85 샬럿","승
1.11
-패
3.63","01.02 (목)
11:30"
45,NBA,핸디캡,"LA클리
점수
102.5
H -9.5
:
점수
85 샬럿","승
1.70
-패
1.70","01.02 (목)
11:30"
46,KBL,일반,"모비스
점수
89 :
점수
84 KCC","승
1.12
-패
3.53","01.02 (목)
19:00"
47,KBL,핸디캡,"모비스
점수
80.5
H -8.5
:
점수
84 KCC","승
1.73
-패
1.67","01.02 (목)
19:00"
48,WKBL,일반,"KB스타즈
점수
59 :
점수
70 삼성생명","승
1.44
-패
2.07","01.02 (목)
19:00"
49,WKBL,핸디캡,"KB스타즈
점수
56.5
H -2.5
:
점수
70 삼성생명","승
1.63배당률 하락
-패
1.78배당률 상승","01.02 (목)
19:00"
50,KOVO,일반,"한국전력
점수
1 :
점수
3 러시앤캐","승
1.60배당률 상승
-패
1.81배당률 하락","01.02 (목)
19:00"
51,KOVO,핸디캡,"한국전력
점수
-0.5
H -1.5
:
점수
3 러시앤캐","승
2.10배당률 상승
-패
1.43배당률 하락","01.02 (목)
19:00"
52,SPL,일반,"킬마넉
점수
2 :
점수
1 세인트미","승
1.99배당률 상승
무
2.90배당률 하락
패
3.05","01.03 (금)
00:00"
53,SPL,일반,"하이버니
점수
2 :
점수
1 하츠","승
1.63
무
3.20
패
4.00","01.03 (금)
04:45"
54,NBA,일반,"클리블C
점수
87 :
점수
81 올랜도","승
1.55
-패
1.88","01.03 (금)
09:00"
55,NBA,핸디캡,"클리블C
점수
85.5
H -1.5
:
점수
81 올랜도","승
1.70
-패
1.70","01.03 (금)
09:00"
56,NBA,일반,"마이애H
점수
114 :
점수
123 골든스테","승
1.31배당률 하락
-패
2.42배당률 상승","01.03 (금)
09:30"
57,NBA,핸디캡,"마이애H
점수
109.5
H -4.5
:
점수
123 골든스테","승
1.65배당률 하락
-패
1.75배당률 상승","01.03 (금)
09:30"
58,NBA,일반,"시카고B
점수
94 :
점수
82 보스턴C","승
1.35
-패
2.30","01.03 (금)
10:00"
59,NBA,핸디캡,"시카고B
점수
89.5
H -4.5
:
점수
82 보스턴C","승
1.72
-패
1.68","01.03 (금)
10:00"
60,NBA,일반,"오클라호
점수
93 :
점수
95 브루클린","승
1.01
-패
5.37","01.03 (금)
10:00"
61,NBA,핸디캡,"오클라호
점수
80.5
H -12.5
:
점수
95 브루클린","승
1.70
-패
1.70","01.03 (금)
10:00"
62,NBA,일반,"샌안토니
점수
101 :
점수
105 뉴욕닉스","승
1.05
-패
4.46","01.03 (금)
10:30"
63,NBA,핸디캡,"샌안토니
점수
90.5
H -10.5
:
점수
105 뉴욕닉스","승
1.63배당률 하락
-패
1.78배당률 상승","01.03 (금)
10:30"
64,NBA,일반,"피닉스
점수
91 :
점수
99 멤피스","승
1.28
-패
2.53","01.03 (금)
11:00"
65,NBA,핸디캡,"피닉스
점수
85.5
H -5.5
:
점수
99 멤피스","승
1.62배당률 하락
-패
1.79배당률 상승","01.03 (금)
11:00"
66,NBA,일반,"유타재즈
점수
96 :
점수
87 밀워키벅","승
1.35
-패
2.30","01.03 (금)
11:00"
67,NBA,핸디캡,"유타재즈
점수
91.5
H -4.5
:
점수
87 밀워키벅","승
1.72
-패
1.68","01.03 (금)
11:00"
68,NBA,일반,"포틀랜드
점수
134 :
점수
104 샬럿","승
1.05
-패
4.46","01.03 (금)
12:00"
69,NBA,핸디캡,"포틀랜드
점수
123.5
H -10.5
:
점수
104 샬럿","승
1.62배당률 하락
-패
1.79배당률 상승","01.03 (금)
12:00"
70,NBA,일반,"새크라멘
점수
104 :
점수
113 필라76","승
1.17배당률 상승
-패
3.11배당률 하락","01.03 (금)
12:00"
71,NBA,핸디캡,"새크라멘
점수
95.5
H -8.5
:
점수
113 필라76","승
1.71
-패
1.69","01.03 (금)
12:00"
