,2018db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,EPL,일반,"브로미치
점수
1 :
점수
1 아스널","승
4.90
무
3.60
패
1.47","01.01 (월)
01:30"
1,EPL,핸디캡,"브로미치
점수
2
H +1.0
:
점수
1 아스널","승
2.13
무
3.25
패
2.60","01.01 (월)
01:30"
2,NBA,일반,"워싱턴W
점수
114 :
점수
110 시카고B","승
1.24
-패
2.81","01.01 (월)
05:30"
3,NBA,핸디캡,"워싱턴W
점수
107.5
H -6.5
:
점수
110 시카고B","승
1.69
-패
1.75","01.01 (월)
05:30"
4,NBA,일반,"인디애P
점수
90 :
점수
107 미네울브","승
1.98
-패
1.52","01.01 (월)
07:00"
5,NBA,핸디캡,"인디애P
점수
92.5
H +2.5
:
점수
107 미네울브","승
1.68
-패
1.76","01.01 (월)
07:00"
6,NBA,일반,"보스턴C
점수
108 :
점수
105 브루클N","승
1.12
-패
3.70","01.01 (월)
07:30"
7,NBA,핸디캡,"보스턴C
점수
97.5
H -10.5
사전조건 변경
:
점수
105 브루클N","승
1.68
-패
1.76","01.01 (월)
07:30"
8,NBA,일반,"휴스턴R
점수
148 :
점수
142 LA레이","승
1.01
-패
5.79","01.01 (월)
09:00"
9,NBA,핸디캡,"휴스턴R
점수
134.5
H -13.5
:
점수
142 LA레이","승
1.68
-패
1.76","01.01 (월)
09:00"
10,NBA,일반,"오클라T
점수
113 :
점수
116 댈러스M","승
1.17
-패
3.25","01.01 (월)
09:00"
11,NBA,핸디캡,"오클라T
점수
104.5
H -8.5
:
점수
116 댈러스M","승
1.73
-패
1.71","01.01 (월)
09:00"
12,NBA,일반,"LA클리
점수
106 :
점수
98 샬럿H","승
1.43배당률 하락
-패
2.16배당률 상승","01.01 (월)
09:00"
13,NBA,핸디캡,"LA클리
점수
103.5
H -2.5
:
점수
98 샬럿H","승
1.65배당률 하락
-패
1.80배당률 상승","01.01 (월)
09:00"
14,NBA,일반,"새크라K
점수
96 :
점수
114 멤피스G","승
1.47
-패
2.07","01.01 (월)
09:00"
15,NBA,핸디캡,"새크라K
점수
93.5
H -2.5
:
점수
114 멤피스G","승
1.68
-패
1.76","01.01 (월)
09:00"
16,NBA,일반,"피닉스S
점수
110 :
점수
123 필라델76","승
2.09
-패
1.46","01.01 (월)
10:00"
17,NBA,핸디캡,"피닉스S
점수
113.5
H +3.5
:
점수
123 필라델76","승
1.67
-패
1.77","01.01 (월)
10:00"
18,KOVO남,일반,"현대캐피
점수
3 :
점수
1 삼성화재","승
1.62배당률 하락
-패
1.83배당률 상승","01.01 (월)
14:00"
19,KOVO남,핸디캡,"현대캐피
점수
1.5
H -1.5
:
점수
1 삼성화재","승
2.26배당률 하락
-패
1.39배당률 상승","01.01 (월)
14:00"
20,KOVO남,언더오버,"현대캐피
U/O 186.5
사전조건 변경
총 점수
185 삼성화재","U
1.72
-O
1.72","01.01 (월)
14:00"
21,일왕배,일반,"C오사카
점수
1 :
점수
1 요코마리","승
1.99
무
3.05
패
3.00","01.01 (월)
14:40"
22,KBL,일반,"부산KT
점수
89 :
점수
90 모비스","승
2.97
-패
1.21","01.01 (월)
15:00"
23,KBL,핸디캡,"부산KT
점수
95.5
H +6.5
:
점수
90 모비스","승
1.75
-패
1.69","01.01 (월)
15:00"
24,KBL,언더오버,"부산KT
U/O 163.5
총 점수
179 모비스","U
1.74
-O
1.70","01.01 (월)
15:00"
25,KBL,일반,"원주DB
점수
79 :
점수
70 KCC","승
1.67
-패
1.77","01.01 (월)
15:00"
26,KBL,핸디캡,"원주DB
점수
77.5
H -1.5
:
점수
70 KCC","승
1.73배당률 하락
-패
1.71배당률 상승","01.01 (월)
15:00"
27,KBL,언더오버,"원주DB
U/O 163.5
총 점수
149 KCC","U
1.68
-O
1.76","01.01 (월)
15:00"
28,KOVO여,일반,"IBK
점수
3 :
점수
1 현대건설","승
1.74배당률 상승
-패
1.70배당률 하락","01.01 (월)
16:00"
29,KOVO여,핸디캡,"IBK
점수
4.5
H +1.5
사전조건 변경
:
점수
1 현대건설","승
1.33배당률 하락
-패
2.43배당률 상승","01.01 (월)
16:00"
30,KOVO여,언더오버,"IBK
U/O 184.5
사전조건 변경
총 점수
172 현대건설","U
1.72
-O
1.72","01.01 (월)
16:00"
31,KBL,일반,"서울삼성
점수
81 :
점수
78 창원LG","승
1.54
-패
1.95","01.01 (월)
17:00"
32,KBL,핸디캡,"서울삼성
점수
79.5
H -1.5
:
점수
78 창원LG","승
1.69
-패
1.75","01.01 (월)
17:00"
33,KBL,언더오버,"서울삼성
U/O 160.5
총 점수
159 창원LG","U
1.78배당률 상승
-O
1.66배당률 하락","01.01 (월)
17:00"
34,WKBL,일반,"우리은행
점수
67 :
점수
62 신한은행","승
1.08
-패
4.22","01.01 (월)
17:00"
35,WKBL,핸디캡,"우리은행
점수
57.5
H -9.5
:
점수
62 신한은행","승
1.70
-패
1.74","01.01 (월)
17:00"
36,WKBL,언더오버,"우리은행
U/O 131.5
사전조건 변경
총 점수
129 신한은행","U
1.75
-O
1.69","01.01 (월)
17:00"
37,EPL,일반,"브라이턴
점수
2 :
점수
2 본머스","승
2.14
무
2.90
패
2.85","01.01 (월)
21:30"
38,EPL,핸디캡,"브라이턴
점수
1
H -1.0
:
점수
2 본머스","승
5.10
무
3.55
패
1.46","01.01 (월)
21:30"
39,EPL,일반,"번리
점수
1 :
점수
2 리버풀","승
6.00
무
3.90
패
1.35","01.02 (화)
00:00"
40,EPL,핸디캡,"번리
점수
2
H +1.0
:
점수
2 리버풀","승
2.45
무
3.30
패
2.21","01.02 (화)
00:00"
41,EPL,일반,"레스터
점수
3 :
점수
0 허더즈필","승
1.47
무
3.50
패
5.10","01.02 (화)
00:00"
42,EPL,핸디캡,"레스터
점수
2
H -1.0
:
점수
0 허더즈필","승
2.65
무
3.05배당률 하락
패
2.19배당률 상승","01.02 (화)
00:00"
43,EPL,일반,"스토크
점수
0 :
점수
1 뉴캐슬","승
2.04
무
3.00
패
2.95","01.02 (화)
00:00"
44,EPL,핸디캡,"스토크
점수
-1
H -1.0
:
점수
1 뉴캐슬","승
4.50
무
3.60
패
1.51","01.02 (화)
00:00"
45,EPL,일반,"에버턴
점수
0 :
점수
2 맨체스U","승
4.25
무
3.30
패
1.60","01.02 (화)
02:30"
46,EPL,핸디캡,"에버턴
점수
1
H +1.0
:
점수
2 맨체스U","승
1.90
무
3.25
패
3.05","01.02 (화)
02:30"
47,NBA,일반,"브루클N
점수
98 :
점수
95 올랜도M","승
1.54
-패
1.95","01.02 (화)
09:30"
48,NBA,핸디캡,"브루클N
점수
95.5
H -2.5
사전조건 변경
:
점수
95 올랜도M","승
1.67
-패
1.77","01.02 (화)
09:30"
49,NBA,일반,"토론토R
점수
131 :
점수
127 밀워키벅","승
1.27
-패
2.66","01.02 (화)
09:30"
50,NBA,핸디캡,"토론토R
점수
124.5
H -6.5
:
점수
127 밀워키벅","승
1.76
-패
1.68","01.02 (화)
09:30"
51,NBA,일반,"시카고B
점수
120 :
점수
124 포틀랜T","승
1.77배당률 하락
-패
1.67배당률 상승","01.02 (화)
10:00"
52,NBA,핸디캡,"시카고B
점수
121.5
H +1.5
:
점수
124 포틀랜T","승
1.62배당률 하락
-패
1.83배당률 상승","01.02 (화)
10:00"
53,NBA,일반,"미네울브
점수
114 :
점수
96 LA레이","승
1.17
-패
3.25","01.02 (화)
10:00"
54,NBA,핸디캡,"미네울브
점수
104.5
H -9.5
사전조건 변경
:
점수
96 LA레이","승
1.72
-패
1.72","01.02 (화)
10:00"
55,KOVO남,일반,"우리카드
점수
3 :
점수
0 OK저축은","승
1.39배당률 하락
-패
2.26배당률 상승","01.02 (화)
19:00"
56,KOVO남,핸디캡,"우리카드
점수
1.5
H -1.5
:
점수
0 OK저축은","승
1.89배당률 하락
-패
1.58배당률 상승","01.02 (화)
19:00"
57,KOVO남,언더오버,"우리카드
U/O 184.5
총 점수
161 OK저축은","U
1.72
-O
1.72","01.02 (화)
19:00"
58,EPL,일반,"사우샘프
점수
1 :
점수
2 크리스탈","승
1.78배당률 상승
무
3.05배당률 하락
패
3.65배당률 하락","01.03 (수)
04:45"
59,EPL,핸디캡,"사우샘프
점수
0
H -1.0
:
점수
2 크리스탈","승
3.40
무
3.35
패
1.75","01.03 (수)
04:45"
60,EPL,일반,"스완지
점수
0 :
점수
2 토트넘","승
9.00
무
4.90
패
1.18","01.03 (수)
04:45"
61,EPL,핸디캡,"스완지
점수
2
H +2.0
:
점수
2 토트넘","승
1.82배당률 상승
무
3.50배당률 하락
패
3.05배당률 하락","01.03 (수)
04:45"
62,EPL,일반,"웨스트햄
점수
2 :
점수
1 브로미치","승
1.76
무
3.15
패
3.60","01.03 (수)
04:45"
63,EPL,핸디캡,"웨스트햄
점수
1
H -1.0
:
점수
1 브로미치","승
3.60
무
3.35
패
1.71","01.03 (수)
04:45"
64,이FA컵,일반,"나폴리
점수
1 :
점수
2 아탈란타","승
1.39
무
4.00
패
5.20","01.03 (수)
04:45"
65,이FA컵,핸디캡,"나폴리
점수
0
H -1.0
:
점수
2 아탈란타","승
2.28
무
3.45
패
2.30","01.03 (수)
04:45"
66,EPL,일반,"맨체스C
점수
3 :
점수
1 왓포드","승
1.03
무
7.30배당률 하락
패
18.00배당률 하락","01.03 (수)
05:00"
67,EPL,핸디캡,"맨체스C
점수
2
H -1.0
사전조건 변경
:
점수
1 왓포드","승
1.33배당률 하락
무
4.30배당률 상승
패
5.60배당률 상승","01.03 (수)
05:00"
68,EPL,핸디캡,"맨체스C
점수
0.5
H -2.5
:
점수
1 왓포드","승
1.98
-패
1.52","01.03 (수)
05:00"
69,NBA,일반,"클리블C
점수
127 :
점수
110 포틀랜T","승
1.16배당률 하락
-패
3.33배당률 상승","01.03 (수)
09:00"
70,NBA,핸디캡,"클리블C
점수
118.5
H -8.5
사전조건 변경
:
점수
110 포틀랜T","승
1.67
-패
1.77","01.03 (수)
09:00"
71,NBA,일반,"뉴욕닉스
점수
91 :
점수
100 샌안토S","승
2.37배당률 상승
-패
1.35배당률 하락","01.03 (수)
09:30"
72,NBA,핸디캡,"뉴욕닉스
점수
95.5
H +4.5
사전조건 변경
:
점수
100 샌안토S","승
1.81
-패
1.64","01.03 (수)
09:30"
73,NBA,일반,"피닉스S
점수
104 :
점수
103 애틀란H","승
1.60
-패
1.86","01.03 (수)
11:00"
74,NBA,핸디캡,"피닉스S
점수
102.5
H -1.5
:
점수
103 애틀란H","승
1.67배당률 하락
-패
1.77배당률 상승","01.03 (수)
11:00"
75,NBA,일반,"새크라K
점수
111 :
점수
131 샬럿H","승
2.09
-패
1.46","01.03 (수)
12:00"
76,NBA,핸디캡,"새크라K
점수
114.5
H +3.5
:
점수
131 샬럿H","승
1.77배당률 상승
-패
1.67배당률 하락","01.03 (수)
12:00"
77,NBA,일반,"LA클리
점수
113 :
점수
105 멤피스G","승
1.28배당률 하락
-패
2.62배당률 상승","01.03 (수)
12:30"
78,NBA,핸디캡,"LA클리
점수
106.5
H -6.5
사전조건 변경
:
점수
105 멤피스G","승
1.72
-패
1.72","01.03 (수)
12:30"
79,KOVO여,일반,"흥국생명
점수
3 :
점수
2 GS칼텍","승
1.61배당률 하락
-패
1.85배당률 상승","01.03 (수)
17:00"
80,KOVO여,핸디캡,"흥국생명
점수
1.5
H -1.5
:
점수
2 GS칼텍","승
2.26배당률 하락
-패
1.39배당률 상승","01.03 (수)
17:00"
81,KOVO여,언더오버,"흥국생명
U/O 184.5
사전조건 변경
총 점수
200 GS칼텍","U
1.72
-O
1.72","01.03 (수)
17:00"
82,KBL,일반,"모비스
점수
78 :
점수
81 원주DB","승
1.58
-패
1.89","01.03 (수)
19:00"
83,KBL,핸디캡,"모비스
점수
76.5
H -1.5
:
점수
81 원주DB","승
1.65배당률 하락
-패
1.80배당률 상승","01.03 (수)
19:00"
84,KBL,언더오버,"모비스
U/O 162.5
총 점수
159 원주DB","U
1.70
-O
1.74","01.03 (수)
19:00"
85,KBL,일반,"안양KGC
점수
95 :
점수
82 부산KT","승
1.09
-패
4.08","01.03 (수)
19:00"
