,2017db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,EPL,일반,"번리
점수
4 :
점수
1 선덜랜드","승
2.07배당률 하락
무
3.05
패
2.85배당률 상승","01.01 (일)
00:00"
1,EPL,핸디캡,"번리
점수
3
H -1.0
:
점수
1 선덜랜드","승
4.20배당률 하락
무
3.25배당률 하락
패
1.62배당률 상승","01.01 (일)
00:00"
2,EPL,언더오버,"번리
U/O 2.5
총 점수
5 선덜랜드","U
1.45
-O
2.11","01.01 (일)
00:00"
3,EPL,일반,"첼시
점수
4 :
점수
2 스토크","승
1.15
무
5.30
패
9.60","01.01 (일)
00:00"
4,EPL,핸디캡,"첼시
점수
3
H -1.0
:
점수
2 스토크","승
1.65
무
3.75
패
3.45","01.01 (일)
00:00"
5,EPL,핸디캡,"첼시
점수
1.5
H -2.5
:
점수
2 스토크","승
2.86
-패
1.23","01.01 (일)
00:00"
6,EPL,언더오버,"첼시
U/O 2.5
총 점수
6 스토크","U
2.14
-O
1.44","01.01 (일)
00:00"
7,EPL,일반,"레스터
점수
1 :
점수
0 웨스트햄","승
2.00배당률 상승
무
3.15배당률 하락
패
2.90배당률 하락","01.01 (일)
00:00"
8,EPL,핸디캡,"레스터
점수
0
H -1.0
:
점수
0 웨스트햄","승
3.90
무
3.70
패
1.57","01.01 (일)
00:00"
9,EPL,언더오버,"레스터
U/O 2.5
총 점수
1 웨스트햄","U
1.70
-O
1.74","01.01 (일)
00:00"
10,EPL,일반,"맨체스U
점수
2 :
점수
1 미들즈브","승
1.14
무
5.40
패
10.00","01.01 (일)
00:00"
11,EPL,핸디캡,"맨체스U
점수
1
H -1.0
:
점수
1 미들즈브","승
1.65
무
3.75
패
3.45","01.01 (일)
00:00"
12,EPL,핸디캡,"맨체스U
점수
-0.5
H -2.5
:
점수
1 미들즈브","승
2.86
-패
1.23","01.01 (일)
00:00"
13,EPL,언더오버,"맨체스U
U/O 2.5
총 점수
3 미들즈브","U
1.86
-O
1.60","01.01 (일)
00:00"
