,2016db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,NBA,일반,"휴스턴R
점수
110 :
점수
114 골든스테","승
1.55배당률 하락
-패
1.93배당률 상승","01.01 (금)
09:00"
1,NBA,핸디캡,"휴스턴R
점수
107.5
H -2.5
사전조건 변경
:
점수
114 골든스테","승
1.74
-패
1.70","01.01 (금)
09:00"
2,NBA,일반,"뉴올리언
점수
89 :
점수
95 LA클리","승
1.67배당률 상승
-패
1.77배당률 하락","01.01 (금)
10:00"
3,NBA,핸디캡,"뉴올리언
점수
87.5
H -1.5
:
점수
95 LA클리","승
1.80배당률 상승
-패
1.65배당률 하락","01.01 (금)
10:00"
4,NBA,일반,"오클라호
점수
110 :
점수
106 피닉스","승
1.01
-패
5.79","01.01 (금)
10:00"
5,NBA,핸디캡,"오클라호
점수
94.5
H -15.5
:
점수
106 피닉스","승
1.72
-패
1.72","01.01 (금)
10:00"
6,NBA,일반,"유타재즈
점수
109 :
점수
96 포틀랜드","승
1.40배당률 상승
-패
2.23배당률 하락","01.01 (금)
11:00"
7,NBA,핸디캡,"유타재즈
점수
104.5
H -4.5
사전조건 변경
:
점수
96 포틀랜드","승
1.75
-패
1.69","01.01 (금)
11:00"
8,KBL,일반,"창원LG
점수
87 :
점수
78 부산KT","승
1.89배당률 상승
-패
1.58배당률 하락","01.01 (금)
14:00"
9,KBL,핸디캡,"창원LG
점수
89.5
H +2.5
사전조건 변경
:
점수
78 부산KT","승
1.66
-패
1.78","01.01 (금)
14:00"
10,KBL,언더오버,"창원LG
U/O 161.5
사전조건 변경
총 점수
165 부산KT","U
1.76
-O
1.68","01.01 (금)
14:00"
11,WKBL,일반,"신한은행
점수
72 :
점수
75 우리은행","승
3.25배당률 하락
-패
1.17배당률 상승","01.01 (금)
14:00"
12,WKBL,핸디캡,"신한은행
점수
79.5
H +7.5
사전조건 변경
:
점수
75 우리은행","승
1.66
-패
1.78","01.01 (금)
14:00"
13,WKBL,언더오버,"신한은행
U/O 127.5
사전조건 변경
총 점수
147 우리은행","U
1.76
-O
1.68","01.01 (금)
14:00"
14,KOVO,일반,"OK저축은
점수
3 :
점수
0 삼성화재","승
1.01
-패
5.79","01.01 (금)
14:00"
15,KOVO,핸디캡,"OK저축은
점수
0.5
H -2.5
:
점수
0 삼성화재","승
1.74배당률 하락
-패
1.70배당률 상승","01.01 (금)
14:00"
16,KOVO,언더오버,"OK저축은
U/O 176.5
총 점수
138 삼성화재","U
1.62배당률 하락
-O
1.83배당률 상승","01.01 (금)
14:00"
17,일왕배,일반,"우라와
점수
1 :
점수
2 G오사카","승
2.40
무
3.20
패
2.31","01.01 (금)
14:15"
18,일왕배,핸디캡,"우라와
점수
2
H +1.0
:
점수
2 G오사카","승
1.42배당률 상승
무
4.00배당률 하락
패
4.80배당률 하락","01.01 (금)
14:15"
19,KBL,일반,"서울삼성
점수
81 :
점수
71 원주동부","승
2.23배당률 상승
-패
1.40배당률 하락","01.01 (금)
16:00"
20,KBL,핸디캡,"서울삼성
점수
86.5
H +5.5
사전조건 변경
:
점수
71 원주동부","승
1.68
-패
1.76","01.01 (금)
16:00"
21,KBL,언더오버,"서울삼성
U/O 158.5
사전조건 변경
총 점수
152 원주동부","U
1.70
-O
1.74","01.01 (금)
16:00"
22,KOVO,일반,"도로공사
점수
3 :
점수
1 KGC","승
1.17
-패
3.25","01.01 (금)
16:00"
23,KOVO,핸디캡,"도로공사
점수
1.5
H -1.5
:
점수
1 KGC","승
1.47
-패
2.07","01.01 (금)
16:00"
24,KOVO,언더오버,"도로공사
U/O 178.5
총 점수
170 KGC","U
1.72
-O
1.72","01.01 (금)
16:00"
25,NBA,일반,"워싱턴W
점수
103 :
점수
91 올랜도","승
1.61
-패
1.85","01.02 (토)
09:00"
26,NBA,핸디캡,"워싱턴W
점수
100.5
H -2.5
사전조건 변경
:
점수
91 올랜도","승
1.71
-패
1.73","01.02 (토)
09:00"
27,NBA,일반,"마이애H
점수
106 :
점수
82 댈러스","승
1.55배당률 상승
-패
1.93배당률 하락","01.02 (토)
09:30"
28,NBA,핸디캡,"마이애H
점수
102.5
H -3.5
:
점수
82 댈러스","승
1.75
-패
1.69","01.02 (토)
09:30"
29,NBA,일반,"토론토R
점수
104 :
점수
94 샬럿","승
1.30
-패
2.54","01.02 (토)
09:30"
30,NBA,핸디캡,"토론토R
점수
97.5
H -6.5
사전조건 변경
:
점수
94 샬럿","승
1.71
-패
1.73","01.02 (토)
09:30"
31,NBA,일반,"시카고B
점수
108 :
점수
81 뉴욕닉스","승
1.21
-패
2.97","01.02 (토)
10:00"
32,NBA,핸디캡,"시카고B
점수
100.5
H -7.5
:
점수
81 뉴욕닉스","승
1.74
-패
1.70","01.02 (토)
10:00"
33,NBA,일반,"LA레이
점수
93 :
점수
84 필라76","승
1.51
-패
2.00","01.02 (토)
12:30"
34,NBA,핸디캡,"LA레이
점수
89.5
H -3.5
사전조건 변경
:
점수
84 필라76","승
1.70
-패
1.74","01.02 (토)
12:30"
35,KBL,일반,"오리온스
점수
106 :
점수
78 안양KGC","승
1.92배당률 하락
-패
1.56배당률 상승","01.02 (토)
14:00"
