,2021db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,라리가,일반,"오사수나
점수
1 :
점수
1 알라베스","승
2.12
무
2.95
패
2.95","01.01 (금)
00:15"
1,라리가,핸디캡,"오사수나
점수
0
H -1.0
:
점수
1 알라베스","승
4.70
무
3.60
패
1.52","01.01 (금)
00:15"
2,라리가,언더오버,"오사수나
U/O 2.5
총 점수
2 알라베스","U
1.47
-O
2.13","01.01 (금)
00:15"
3,NBA,일반,"인디페이
점수
119 :
점수
99 클리캐벌","승
1.24
-패
2.92","01.01 (금)
05:00"
4,NBA,핸디캡,"인디페이
점수
111.5
H -7.5
:
점수
99 클리캐벌","승
1.78
-패
1.70","01.01 (금)
05:00"
5,NBA,언더오버,"인디페이
U/O 217.5
총 점수
218 클리캐벌","U
1.76
-O
1.72","01.01 (금)
05:00"
6,NBA,일반,"워싱위저
점수
130 :
점수
133 시카불스","승
1.36
-패
2.41","01.01 (금)
07:00"
7,NBA,핸디캡,"워싱위저
점수
125.5
H -4.5
:
점수
133 시카불스","승
1.71
-패
1.77","01.01 (금)
07:00"
8,NBA,언더오버,"워싱위저
U/O 234.5
총 점수
263 시카불스","U
1.76
-O
1.72","01.01 (금)
07:00"
9,NBA,일반,"올랜매직
점수
92 :
점수
116 필라76s","승
2.02
-패
1.53","01.01 (금)
08:30"
10,NBA,핸디캡,"올랜매직
점수
94.5
H +2.5
:
점수
116 필라76s","승
1.73
-패
1.75","01.01 (금)
08:30"
11,NBA,언더오버,"올랜매직
U/O 218.5
총 점수
208 필라76s","U
1.72
-O
1.76","01.01 (금)
08:30"
12,NBA,일반,"휴스로케
점수
122 :
점수
119 새크킹스","승
1.35배당률 하락
-패
2.45배당률 상승","01.01 (금)
09:00"
13,NBA,핸디캡,"휴스로케
점수
116.5
H -5.5
사전조건 변경
:
점수
119 새크킹스","승
1.78
-패
1.70","01.01 (금)
09:00"
14,NBA,언더오버,"휴스로케
U/O 230.5
총 점수
241 새크킹스","U
1.74
-O
1.74","01.01 (금)
09:00"
15,NBA,일반,"토론랩터
점수
100 :
점수
83 뉴욕닉스","승
1.18
-패
3.31","01.01 (금)
09:30"
16,NBA,핸디캡,"토론랩터
점수
91.5
H -8.5
:
점수
83 뉴욕닉스","승
1.72
-패
1.76","01.01 (금)
09:30"
17,NBA,언더오버,"토론랩터
U/O 217.5
사전조건 변경
총 점수
183 뉴욕닉스","U
1.73
-O
1.75","01.01 (금)
09:30"
18,NBA,일반,"오클썬더
점수
80 :
점수
113 뉴올펠리","승
2.45
-패
1.35","01.01 (금)
10:00"
19,NBA,핸디캡,"오클썬더
점수
85.5
H +5.5
:
점수
113 뉴올펠리","승
1.69
-패
1.79","01.01 (금)
10:00"
20,NBA,언더오버,"오클썬더
U/O 216.5
사전조건 변경
총 점수
193 뉴올펠리","U
1.77
-O
1.71","01.01 (금)
10:00"
21,NBA,일반,"유타재즈
점수
95 :
점수
106 피닉선즈","승
1.42배당률 하락
-패
2.25배당률 상승","01.01 (금)
11:00"
22,NBA,핸디캡,"유타재즈
점수
91.5
H -3.5
사전조건 변경
:
점수
106 피닉선즈","승
1.69
-패
1.79","01.01 (금)
11:00"
23,NBA,언더오버,"유타재즈
U/O 219.5
사전조건 변경
총 점수
201 피닉선즈","U
1.74
-O
1.74","01.01 (금)
11:00"
24,KOVO남,일반,"OK금융그
점수
3 :
점수
0 삼성화재","승
1.20
-패
3.16","01.01 (금)
14:00"
25,KOVO남,핸디캡,"OK금융그
점수
1.5
H -1.5
:
점수
0 삼성화재","승
1.46배당률 하락
-패
2.15배당률 상승","01.01 (금)
14:00"
26,KOVO남,언더오버,"OK금융그
U/O 181.5
총 점수
139 삼성화재","U
1.74
-O
1.74","01.01 (금)
14:00"
27,일왕배,일반,"가와사키
점수
1 :
점수
0 G오사카","승
1.43
무
3.95
패
5.10","01.01 (금)
14:40"
28,일왕배,핸디캡,"가와사키
점수
0
H -1.0
:
점수
0 G오사카","승
2.30배당률 하락
무
3.35배당률 하락
패
2.40배당률 상승","01.01 (금)
14:40"
29,일왕배,언더오버,"가와사키
U/O 2.5
총 점수
1 G오사카","U
2.07
-O
1.50","01.01 (금)
14:40"
30,KBL,일반,"모비스
점수
73 :
점수
66 오리온스","승
1.87
-패
1.63","01.01 (금)
15:00"
31,KBL,핸디캡,"모비스
점수
74.5
H +1.5
:
점수
66 오리온스","승
1.73배당률 상승
-패
1.75배당률 하락","01.01 (금)
15:00"
32,KBL,언더오버,"모비스
U/O 159.5
총 점수
139 오리온스","U
1.73
-O
1.75","01.01 (금)
15:00"
33,KBL,일반,"전자랜드
점수
64 :
점수
82 KCC","승
2.41배당률 상승
-패
1.36배당률 하락","01.01 (금)
15:00"
34,KBL,핸디캡,"전자랜드
점수
68.5
H +4.5
사전조건 변경
:
점수
82 KCC","승
1.74
-패
1.74","01.01 (금)
15:00"
35,KBL,언더오버,"전자랜드
U/O 156.5
총 점수
146 KCC","U
1.78배당률 상승
-O
1.70배당률 하락","01.01 (금)
15:00"
