,2020db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,NBA,일반,"샬럿H
점수
92 :
점수
109 보스턴C","승
2.92
-패
1.24","01.01 (수)
05:00"
1,NBA,핸디캡,"샬럿H
점수
99.5
H +7.5
:
점수
109 보스턴C","승
1.71
-패
1.77","01.01 (수)
05:00"
2,NBA,일반,"인디애P
점수
115 :
점수
97 필라델76","승
1.77
-패
1.71","01.01 (수)
05:00"
3,NBA,핸디캡,"인디애P
점수
116.5
H +1.5
:
점수
97 필라델76","승
1.63
-패
1.87","01.01 (수)
05:00"
4,NBA,일반,"새크라K
점수
87 :
점수
105 LA클리","승
2.72
-패
1.28","01.01 (수)
07:00"
5,NBA,핸디캡,"새크라K
점수
93.5
H +6.5
:
점수
105 LA클리","승
1.72
-패
1.76","01.01 (수)
07:00"
6,NBA,일반,"토론토R
점수
117 :
점수
97 클리블C","승
1.12
-패
3.90","01.01 (수)
09:00"
7,NBA,핸디캡,"토론토R
점수
106.5
H -10.5
:
점수
97 클리블C","승
1.75
-패
1.73","01.01 (수)
09:00"
8,NBA,일반,"휴스턴R
점수
130 :
점수
104 덴버N","승
1.44배당률 하락
-패
2.20배당률 상승","01.01 (수)
09:00"
9,NBA,핸디캡,"휴스턴R
점수
126.5
H -3.5
사전조건 변경
:
점수
104 덴버N","승
1.72배당률 하락
-패
1.76배당률 상승","01.01 (수)
09:00"
10,NBA,일반,"샌안토S
점수
117 :
점수
113 골든스W","승
1.12
-패
3.90","01.01 (수)
09:00"
11,NBA,핸디캡,"샌안토S
점수
106.5
H -10.5
:
점수
113 골든스W","승
1.76
-패
1.72","01.01 (수)
09:00"
12,NBA,일반,"오클라T
점수
106 :
점수
101 댈러스M","승
2.22배당률 상승
-패
1.43배당률 하락","01.01 (수)
10:00"
13,NBA,핸디캡,"오클라T
점수
109.5
H +3.5
사전조건 변경
:
점수
101 댈러스M","승
1.77
-패
1.71","01.01 (수)
10:00"
14,KOVO남,일반,"삼성화재
점수
3 :
점수
1 KB손보","승
1.39
-패
2.33","01.01 (수)
14:00"
15,KOVO남,핸디캡,"삼성화재
점수
1.5
H -1.5
:
점수
1 KB손보","승
1.78
-패
1.70","01.01 (수)
14:00"
16,KOVO남,언더오버,"삼성화재
U/O 183.5
총 점수
178 KB손보","U
1.74
-O
1.74","01.01 (수)
14:00"
17,KBL,일반,"오리온스
점수
83 :
점수
75 서울SK","승
3.16
-패
1.20","01.01 (수)
15:00"
18,KBL,핸디캡,"오리온스
점수
89.5
H +6.5
:
점수
75 서울SK","승
1.78
-패
1.70","01.01 (수)
15:00"
19,KBL,언더오버,"오리온스
U/O 154.5
사전조건 변경
총 점수
158 서울SK","U
1.78
-O
1.70","01.01 (수)
15:00"
20,KBL,일반,"안양KGC
점수
85 :
점수
71 모비스","승
1.37
-패
2.38","01.01 (수)
17:00"
21,KBL,핸디캡,"안양KGC
점수
81.5
H -3.5
:
점수
71 모비스","승
1.69
-패
1.79","01.01 (수)
17:00"
22,KBL,언더오버,"안양KGC
U/O 150.5
총 점수
156 모비스","U
1.75배당률 상승
-O
1.73배당률 하락","01.01 (수)
17:00"
23,KBL,일반,"서울삼성
점수
65 :
점수
69 전자랜드","승
2.07
-패
1.50","01.01 (수)
17:00"
24,KBL,핸디캡,"서울삼성
점수
67.5
H +2.5
:
점수
69 전자랜드","승
1.71
-패
1.77","01.01 (수)
17:00"
25,KBL,언더오버,"서울삼성
U/O 158.5
총 점수
134 전자랜드","U
1.76
-O
1.72","01.01 (수)
17:00"
26,WKBL,일반,"우리은행
점수
55 :
점수
56 BNK썸","승
1.14
-패
3.67","01.01 (수)
17:00"
27,WKBL,핸디캡,"우리은행
점수
44.5
H -10.5
:
점수
56 BNK썸","승
1.79
-패
1.69","01.01 (수)
17:00"
28,WKBL,언더오버,"우리은행
U/O 135.5
총 점수
111 BNK썸","U
1.75배당률 상승
-O
1.73배당률 하락","01.01 (수)
17:00"
29,EPL,일반,"브라이턴
점수
1 :
점수
1 첼시","승
3.30
무
3.30
패
1.84","01.01 (수)
21:30"
30,EPL,핸디캡,"브라이턴
점수
2
H +1.0
:
점수
1 첼시","승
1.72배당률 상승
무
3.50배당률 하락
패
3.55배당률 하락","01.01 (수)
21:30"
31,EPL,일반,"번리
점수
1 :
점수
2 애스턴","승
1.70
무
3.35
패
3.80","01.01 (수)
21:30"
32,EPL,핸디캡,"번리
점수
0
H -1.0
:
점수
2 애스턴","승
3.25
무
3.45
패
1.81","01.01 (수)
21:30"
33,EPL,일반,"뉴캐슬
점수
0 :
점수
3 레스터","승
4.65
무
3.55
패
1.53","01.02 (목)
00:00"
34,EPL,핸디캡,"뉴캐슬
점수
1
H +1.0
:
점수
3 레스터","승
2.05
무
3.35
패
2.75","01.02 (목)
00:00"
35,EPL,일반,"사우샘프
점수
1 :
점수
0 토트넘","승
2.95
무
3.25
패
1.99","01.02 (목)
00:00"
36,EPL,핸디캡,"사우샘프
점수
2
H +1.0
:
점수
0 토트넘","승
1.58
무
3.70
패
4.05","01.02 (목)
00:00"
37,EPL,일반,"왓포드
점수
2 :
점수
1 울버햄튼","승
2.90
무
3.05
패
2.10","01.02 (목)
00:00"
38,EPL,핸디캡,"왓포드
점수
3
H +1.0
:
점수
1 울버햄튼","승
1.51
무
3.65
패
4.70","01.02 (목)
00:00"
39,EPL,일반,"맨체스C
점수
2 :
점수
1 에버턴","승
1.20
무
5.30
패
7.90","01.02 (목)
02:30"
40,EPL,핸디캡,"맨체스C
점수
0
H -2.0
:
점수
1 에버턴","승
2.85
무
4.05
패
1.81","01.02 (목)
02:30"
41,EPL,일반,"노리치
점수
1 :
점수
1 크리스탈","승
2.25
무
3.20
패
2.55","01.02 (목)
02:30"
42,EPL,핸디캡,"노리치
점수
0
H -1.0
:
점수
1 크리스탈","승
4.95
무
3.95
패
1.44","01.02 (목)
02:30"
43,EPL,일반,"웨스트햄
점수
4 :
점수
0 본머스","승
1.80
무
3.40
패
3.35","01.02 (목)
02:30"
44,EPL,핸디캡,"웨스트햄
점수
3
H -1.0
:
점수
0 본머스","승
3.45
무
3.60
패
1.72","01.02 (목)
02:30"
45,EPL,일반,"아스널
점수
2 :
점수
0 맨체스U","승
2.40
무
3.25
패
2.35","01.02 (목)
05:00"
46,EPL,핸디캡,"아스널
점수
3
H +1.0
:
점수
0 맨체스U","승
1.40
무
4.10
패
5.20","01.02 (목)
05:00"
47,NBA,일반,"워싱턴W
점수
101 :
점수
122 올랜도M","승
2.52
-패
1.33","01.02 (목)
08:00"
48,NBA,핸디캡,"워싱턴W
점수
106.5
H +5.5
:
점수
122 올랜도M","승
1.74
-패
1.74","01.02 (목)
08:00"
49,NBA,일반,"뉴욕닉스
점수
117 :
점수
93 포틀랜T","승
2.33
-패
1.39","01.02 (목)
09:30"
50,NBA,핸디캡,"뉴욕닉스
점수
121.5
H +4.5
:
점수
93 포틀랜T","승
1.73
-패
1.75","01.02 (목)
09:30"
51,NBA,일반,"밀워키벅
점수
106 :
점수
104 미네울브","승
1.01
-패
6.28","01.02 (목)
10:00"
52,NBA,핸디캡,"밀워키벅
점수
89.5
H -16.5
:
점수
104 미네울브","승
1.71
-패
1.77","01.02 (목)
10:00"
53,NBA,일반,"LA레이
점수
117 :
점수
107 피닉스S","승
1.08
-패
4.47","01.02 (목)
12:30"
54,NBA,핸디캡,"LA레이
점수
105.5
H -11.5
:
점수
107 피닉스S","승
1.77배당률 상승
-패
1.71배당률 하락","01.02 (목)
12:30"
55,WKBL,일반,"KEB하나
점수
82 :
점수
50 신한은행","승
1.68
-패
1.80","01.02 (목)
19:00"
56,WKBL,핸디캡,"KEB하나
점수
80.5
H -1.5
:
점수
50 신한은행","승
1.83
-패
1.66","01.02 (목)
19:00"
57,WKBL,언더오버,"KEB하나
U/O 145.5
총 점수
132 신한은행","U
1.78
-O
1.70","01.02 (목)
19:00"
58,EPL,일반,"리버풀
점수
2 :
점수
0 셰필드U","승
1.18
무
5.30
패
8.80","01.03 (금)
05:00"
59,EPL,핸디캡,"리버풀
점수
0
H -2.0
:
점수
0 셰필드U","승
2.85
무
3.95
패
1.83","01.03 (금)
05:00"
60,NBA,일반,"클리블C
점수
106 :
점수
109 샬럿H","승
1.60
-패
1.91","01.03 (금)
09:00"
61,NBA,핸디캡,"클리블C
점수
104.5
H -1.5
:
점수
109 샬럿H","승
1.74
-패
1.74","01.03 (금)
09:00"
62,NBA,일반,"인디애P
점수
116 :
점수
124 덴버N","승
1.78배당률 하락
-패
1.70배당률 상승","01.03 (금)
09:00"
63,NBA,핸디캡,"인디애P
점수
117.5
H +1.5
:
점수
124 덴버N","승
1.68
-패
1.80","01.03 (금)
09:00"
64,NBA,일반,"마이애H
점수
84 :
점수
76 토론토R","승
1.38
-패
2.35","01.03 (금)
09:30"
65,NBA,핸디캡,"마이애H
점수
79.5
H -4.5
:
점수
76 토론토R","승
1.73
-패
1.75","01.03 (금)
09:30"
66,NBA,일반,"시카고B
점수
98 :
점수
102 유타J","승
2.35배당률 상승
-패
1.38배당률 하락","01.03 (금)
10:00"
67,NBA,핸디캡,"시카고B
점수
102.5
H +4.5
사전조건 변경
:
점수
102 유타J","승
1.79
-패
1.69","01.03 (금)
10:00"
68,NBA,일반,"미네울브
점수
99 :
점수
84 골든스W","승
1.55
-패
1.98","01.03 (금)
10:00"
69,NBA,핸디캡,"미네울브
점수
96.5
H -2.5
:
점수
84 골든스W","승
1.78
-패
1.70","01.03 (금)
10:00"
70,NBA,일반,"댈러스M
점수
123 :
점수
111 브루클N","승
1.24
-패
2.92","01.03 (금)
10:30"
71,NBA,핸디캡,"댈러스M
점수
115.5
H -7.5
:
점수
111 브루클N","승
1.76
-패
1.72","01.03 (금)
10:30"
72,NBA,일반,"샌안토S
점수
103 :
점수
109 오클라T","승
1.57
-패
1.95","01.03 (금)
10:30"
73,NBA,핸디캡,"샌안토S
점수
100.5
H -2.5
사전조건 변경
:
점수
109 오클라T","승
1.70
-패
1.78","01.03 (금)
10:30"
74,NBA,일반,"새크라K
점수
128 :
점수
123 멤피스G","승
1.41
-패
2.27","01.03 (금)
12:00"
75,NBA,핸디캡,"새크라K
점수
124.5
H -3.5
:
점수
123 멤피스G","승
1.74배당률 상승
-패
1.74배당률 하락","01.03 (금)
12:00"
76,NBA,일반,"LA클리
점수
126 :
점수
112 디트로P","승
1.06배당률 하락
-패
4.85배당률 상승","01.03 (금)
12:30"
77,NBA,핸디캡,"LA클리
점수
113.5
H -12.5
사전조건 변경
:
점수
112 디트로P","승
1.74배당률 상승
-패
1.74배당률 하락","01.03 (금)
12:30"
