,2019db_fs11,badge_gray,scoreDiv_fwb,formBox,fs11
0,축INTL,일반,"사우디
점수
0 :
점수
0 한국","승
4.10
무
3.15
패
1.70","01.01 (화)
01:00"
1,축INTL,핸디캡,"사우디
점수
1
H +1.0
:
점수
0 한국","승
1.81
무
3.30
패
3.40","01.01 (화)
01:00"
2,축INTL,언더오버,"사우디
U/O 2.5
총 점수
0 한국","U
1.51
-O
2.05","01.01 (화)
01:00"
3,NBA,일반,"인디애P
점수
116 :
점수
108 애틀란H","승
1.09
-패
4.31","01.01 (화)
05:00"
4,NBA,일반,"샬럿H
점수
125 :
점수
100 올랜도M","승
1.24
-패
2.92","01.01 (화)
08:00"
5,NBA,일반,"휴스턴R
점수
113 :
점수
101 멤피스G","승
1.26배당률 하락
-패
2.81배당률 상승","01.01 (화)
09:00"
6,NBA,일반,"샌안토S
점수
120 :
점수
111 보스턴C","승
1.67
-패
1.82","01.01 (화)
09:00"
7,NBA,일반,"뉴올리P
점수
123 :
점수
114 미네울브","승
1.39
-패
2.33","01.01 (화)
10:00"
8,NBA,일반,"오클라T
점수
122 :
점수
102 댈러스M","승
1.25
-패
2.86","01.01 (화)
10:00"
9,NBA,일반,"피닉스S
점수
109 :
점수
132 골든스W","승
3.67
-패
1.14","01.01 (화)
11:00"
10,KOVO남,일반,"KB손보
점수
3 :
점수
0 남배OK저","승
1.87
-패
1.63","01.01 (화)
14:00"
11,KOVO남,핸디캡,"KB손보
점수
4.5
H +1.5
:
점수
0 남배OK저","승
1.48
-패
2.11","01.01 (화)
14:00"
12,KOVO남,언더오버,"KB손보
U/O 187.5
총 점수
136 남배OK저","U
1.74
-O
1.74","01.01 (화)
14:00"
13,KBL,일반,"KCC
점수
86 :
점수
84 서울SK","승
1.15
-패
3.57","01.01 (화)
15:00"
14,KBL,핸디캡,"KCC
점수
77.5
H -8.5
:
점수
84 서울SK","승
1.72
-패
1.76","01.01 (화)
15:00"
15,KBL,언더오버,"KCC
U/O 156.5
사전조건 변경
총 점수
170 서울SK","U
1.76
-O
1.72","01.01 (화)
15:00"
16,KOVO여,일반,"KGC
점수
0 :
점수
3 IBK","승
4.85
-패
1.06","01.01 (화)
16:00"
17,KOVO여,핸디캡,"KGC
점수
2.5
H +2.5
:
점수
3 IBK","승
1.65배당률 상승
-패
1.84배당률 하락","01.01 (화)
16:00"
18,KOVO여,언더오버,"KGC
U/O 138.5
총 점수
137 IBK","U
1.74
-O
1.74","01.01 (화)
16:00"
19,KBL,일반,"전자랜드
점수
76 :
점수
70 오리온스","승
1.19
-패
3.24","01.01 (화)
17:00"
20,KBL,핸디캡,"전자랜드
점수
68.5
H -7.5
:
점수
70 오리온스","승
1.72
-패
1.76","01.01 (화)
17:00"
21,KBL,언더오버,"전자랜드
U/O 168.5
사전조건 변경
총 점수
146 오리온스","U
1.76
-O
1.72","01.01 (화)
17:00"
22,EPL,일반,"에버턴
점수
0 :
점수
1 레스터","승
2.01배당률 상승
무
2.95배당률 하락
패
3.20배당률 상승","01.01 (화)
21:30"
23,EPL,일반,"아스널
점수
4 :
점수
1 풀럼","승
1.26
발매차단
무
4.60
패
7.20","01.02 (수)
00:00"
